ec5_uuid,created_at,uploaded_at,created_by,title,2_Site_Name,3_Survey_Type,4_Plot_,5_Date,6_Time,7_Visit_,8_Observer,9_Distance_Observed_,10_Sex,11_Turtle_ID,12_Status,13_Age,14_Capture_Type,lat_15_GPS,long_15_GPS,accuracy_15_GPS,UTM_Northing_15_GPS,UTM_Easting_15_GPS,UTM_Zone_15_GPS,16_Carapace_Photo,17_Plastron_Photo,18_SCL_mm,19_CW_mm,20_SH_mm,21_Mass_g,22_Plastron_Wear_,23_Visible_Annuli_Le,24_Gravid,25_Health,26_Injuries,27_Mower_Related_Inj,28_Injuries_OtherDet,29_Scute_Morph,30_Scute_Morph_Other,31_Macrohabitat,32_Microhabitat,33_Habitat_Other,34_Distance_from_mow,35_Behavior,36_Behavior_Other,37_Calipers_Used,38_Notch_Code_System,39_Comments
,2023-08-03T16:14:44.038Z,2023-08-03T16:14:54.000Z,n/a,e0496e0e-834c-4c1b-87ca-6caf8420ff4e,,,,08/03/2023,12:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
a5092a72-2c79-4f14-88e8-3aa409b8e315,2023-07-21T15:22:41.300Z,2023-07-23T13:51:26.000Z,maxearle32@gmail.com,"Female 4102",Raines,"Track only",1,07/21/2023,11:19,,TA,9,Female,4102,Alive,Adult,"New/Initial Capture",38.645194,-78.136693,5,4281294,749195,17S,a5092a72-2c79-4f14-88e8-3aa409b8e315_1689952791.jpg,a5092a72-2c79-4f14-88e8-3aa409b8e315_1689952802.jpg,130,104,63,445,10,10,NA,Healthy,None,No,,"Irregular (Specify)","13 Marginals on both sides","Mature Forest","Leaf litter",,"1-5 m",Walking,,"SCITOOLS Digital Caliper: 200mm 8","Modified Cagle","Most likely gravid"
e256e23f-f065-4126-8fed-2dfb169afd6f,2023-07-21T15:00:27.952Z,2023-07-23T13:51:23.000Z,maxearle32@gmail.com,"Male 4101",Raines,"Track only",2,07/21/2023,10:53,,MPE,5.4,Male,4101,Alive,Adult,"New/Initial Capture",38.645085,-78.134166,5,4281289,749415,17S,e256e23f-f065-4126-8fed-2dfb169afd6f_1689951414.jpg,e256e23f-f065-4126-8fed-2dfb169afd6f_1689951420.jpg,132,102,57,360,10,10,NA,Healthy,Carapace,No,"Chipped front marginals",Normal,,"Open Field/Meadow",Bushes/Shrubs,,"0 m (In mowed area)","Walking, Feeding/Foraging","Fleeing from observer","SCITOOLS Digital Caliper: 200mm 8","Modified Cagle",
343327a3-7559-4367-9eea-6f5a2fe47d5a,2023-07-21T14:40:25.083Z,2023-07-23T13:51:21.000Z,maxearle32@gmail.com,Unknown,Raines,"Track only",,07/21/2023,10:38,,MPE,10,Unknown,,Dead,Adult,"New/Initial Capture",38.643895,-78.134176,5,4281157,749418,17S,343327a3-7559-4367-9eea-6f5a2fe47d5a_1689950362.jpg,343327a3-7559-4367-9eea-6f5a2fe47d5a_1689950381.jpg,,,,,,,,,,,,,,"Open Field/Meadow",Other,"Sitting on top of rock upside down","0 m (In mowed area)",,,Other,"Modified Cagle",
e13a7764-a4c3-4839-927a-efde1ef224f7,2023-07-21T14:32:37.881Z,2023-07-23T13:51:19.000Z,maxearle32@gmail.com,"Male 4100",Raines,"Track only",2,07/21/2023,10:20,,MPE,0,Male,4100,Alive,Adult,"New/Initial Capture",38.643553,-78.133499,5,4281121,749479,17S,e13a7764-a4c3-4839-927a-efde1ef224f7_1689949540.jpg,e13a7764-a4c3-4839-927a-efde1ef224f7_1689949549.jpg,125,109,54,380,15,12,NA,Healthy,Carapace,Yes,"Hit by brush hog or tractor, broken from RPL into V3",Normal,,"Open Field/Meadow",Grasses,,"0 m (In mowed area)","In form",,"SCITOOLS Digital Caliper: 200mm 8","Modified Cagle",
4492caaa-82c7-4d20-b360-a037ef8fdae1,2023-07-20T14:45:43.604Z,2023-07-20T18:45:40.000Z,maxearle32@gmail.com,"Male 2",,"Track only",,07/20/2023,10:39,,"Anneke D",2,Male,2,Alive,Adult,"New/Initial Capture",39.035798,-78.54875,5,4323608,712164,17S,4492caaa-82c7-4d20-b360-a037ef8fdae1_1689864241.jpg,4492caaa-82c7-4d20-b360-a037ef8fdae1_1689864254.jpg,139,111,63,480,2,12,NA,Healthy,Carapace,No,"Front marginal damage",Normal,,"Mixed Forest","Leaf litter",,NA,Active,,"SCITOOLS Digital Caliper: 200mm 8","Modified Cagle",
2daea117-2309-41ad-9fa9-46514ba93501,2023-07-20T14:02:36.221Z,2023-07-20T18:45:37.000Z,maxearle32@gmail.com,"Male 1",,Incidental,,07/20/2023,09:55,,NW,5,Male,1,Alive,Adult,"New/Initial Capture",39.038653,-78.5496,5,4323923,712082,17S,2daea117-2309-41ad-9fa9-46514ba93501_1689861612.jpg,2daea117-2309-41ad-9fa9-46514ba93501_1689861624.jpg,135,111,65,495,99,0,NA,Healthy,None,No,,Normal,,"Mixed Forest",Road/Footpath,,NA,"Active, Feeding/Foraging",,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
56bc4f8b-32e1-4b02-b117-e5521c7dfaaf,2023-07-19T17:18:58.566Z,2023-07-20T18:45:35.000Z,maxearle32@gmail.com,"Male 2019",SCBI,"Track only",2,07/19/2023,13:05,,MPE,2.5,Male,2019,Alive,Adult,"New/Initial Capture",38.902474,-78.162322,5,4309782,746077,17S,56bc4f8b-32e1-4b02-b117-e5521c7dfaaf_1689786794.jpg,56bc4f8b-32e1-4b02-b117-e5521c7dfaaf_1689786804.jpg,123,100,53,378,15,11,NA,Healthy,Carapace,No,"Extensive damage to carapace, keratin missing an all scoots, except for RPL1, rib structure, exposed on left plurals into vertebral’s","Irregular (Specify)","Missing large amounts of keratin, 11, right, marginals, and infection or fungus under RPL 1","Mixed Forest",Grasses,"Heading from Sami open grassy spot into mature forest",NA,"Feeding/Foraging, Active",,"SCITOOLS Digital Caliper: 200mm 8","Modified Cagle",
1e730800-224f-11ee-bbbd-434fbf279767,2023-07-14T14:02:50.368Z,2023-07-14T14:14:34.000Z,turtleconservationecology@gmail.com,Male,,Incidental,,07/10/2023,11:22,,MPE,,Male,,,,,40.260861,-77.892317,4,4460724,254037,18T,1e730800-224f-11ee-bbbd-434fbf279767_1689344063.jpg,1e730800-224f-11ee-bbbd-434fbf279767_1689344060.jpg,,,,,,,,Healthy,"Plastron, Carapace",No,"Chipping on front marginal, light scuffing on plastron",,,,Road/Footpath,,,,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle","Found upside down closed up on side of the road on the way to PA"
bd33dbf0-224e-11ee-bbbd-434fbf279767,2023-07-14T14:00:07.215Z,2023-07-14T14:14:02.000Z,turtleconservationecology@gmail.com,"Female 2025",SCBI,"Search-Encounter (SCR Method)",2,07/07/2023,10:27,5,MPE,1.5,Female,2025,Alive,Adult,"New/Initial Capture",38.901338,-78.16268,4,4309655,746050,17S,bd33dbf0-224e-11ee-bbbd-434fbf279767_1689344016.jpg,bd33dbf0-224e-11ee-bbbd-434fbf279767_1689344019.jpg,135,107,70,540,10,11,Unknown,Healthy,Plastron,No,"Chipping on plastron",Normal,,"Mixed Forest",Grasses,,NA,Feeding/Foraging,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle","Blood Sample Taken"
4a0418c0-224e-11ee-bbbd-434fbf279767,2023-07-14T13:56:53.964Z,2023-07-14T14:13:05.000Z,turtleconservationecology@gmail.com,"Male 2023",SCBI,"Search-Encounter (SCR Method)",2,07/07/2023,09:21,5,NJW,0,Male,2023,Alive,Adult,"New/Initial Capture",38.904791,-78.161285,4,4310042,746159,17S,4a0418c0-224e-11ee-bbbd-434fbf279767_1689343937.jpg,4a0418c0-224e-11ee-bbbd-434fbf279767_1689343942.jpg,118,95,56,330,5,9,NA,Healthy,None,No,,Normal,,"Open Field/Meadow","Downed tree/log",,NA,Quiescent/inactive,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle","Blood Sample Taken"
1f0787ca-eefd-477a-8377-ca8804b00ff0,2023-07-07T14:16:36.103Z,2023-07-12T13:09:56.000Z,maxearle32@gmail.com,"Male 2024",SCBI,"Search-Encounter (SCR Method)",2,07/07/2023,10:04,5,MPE,2,Male,2024,Alive,Adult,"New/Initial Capture",38.902222,-78.162297,5,4309754,746080,17S,1f0787ca-eefd-477a-8377-ca8804b00ff0_1688739132.jpg,1f0787ca-eefd-477a-8377-ca8804b00ff0_1688739152.jpg,150,112,63,505,15,12,NA,Healthy,Carapace,No,"LM1 Damage","Irregular (Specify)","7 Vert, 5 R Plurals, 6 L Plurals, 13 R Marg, 12 L Marg","Mixed Forest",Grasses,,NA,Active,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle","Funky as hell"
2d8f9e9e-29bc-4b35-9d65-ca89dfdbb267,2023-07-06T22:53:17.397Z,2023-07-12T13:09:54.000Z,maxearle32@gmail.com,2d8f9e9e-29bc-4b35-9d65-ca89dfdbb267,SCBI,Incidental,2,07/06/2023,18:52,,,,,,Dead,,,38.903892,-78.156575,9,4309955,746571,17S,2d8f9e9e-29bc-4b35-9d65-ca89dfdbb267_1688684007.jpg,2d8f9e9e-29bc-4b35-9d65-ca89dfdbb267_1688684012.jpg,,,,,,,,,,,,,,,,,,,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
f0082a0c-63f4-472d-bca4-3be4ba8a3b55,2023-07-06T22:52:15.691Z,2023-07-12T13:09:52.000Z,maxearle32@gmail.com,"Male 2030",SCBI,"Track only",2,07/06/2023,18:45,,MPE,10,Male,2030,Alive,Adult,"New/Initial Capture",38.903827,-78.156465,6,4309948,746581,17S,f0082a0c-63f4-472d-bca4-3be4ba8a3b55_1688683697.jpg,f0082a0c-63f4-472d-bca4-3be4ba8a3b55_1688683704.jpg,,,,,30,12,NA,Healthy,None,No,,Normal,,"Mixed Forest",Gravel/Shale,"Gravel road",NA,Walking,,"SCITOOLS Digital Caliper: 200mm 8","Modified Cagle",
dd4a526c-e4f5-48a1-a8dc-49054113940e,2023-06-29T13:59:35.683Z,2023-06-29T18:49:35.000Z,emmakendrick136@gmail.com,"Female 2015",SCBI,"Track only",2,06/29/2023,09:57,,SMSC,0.5,Female,2015,Alive,Adult,Recapture,38.902814,-78.161931,5,4309821,746110,17S,,,,,,,,,,,,,,,,"Early successional forest",Grasses,,NA,Feeding/Foraging,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
b22be37f-d49e-410e-97e6-1169a87fa945,2023-06-29T13:31:55.051Z,2023-06-29T18:49:33.000Z,emmakendrick136@gmail.com,"Male 2012",SCBI,"Track only",2,06/29/2023,09:30,,MPE,1,Male,2012,Alive,Adult,Recapture,38.9053,-78.160947,5,4310100,746187,17S,,,,,,,,,,,,,,,,"Early successional forest","Leaf litter",,NA,Alert,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
